Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,Port Hedland,AU,82.45,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
306,Bahia Blanca,AR,78.01,broken clouds,-38.7196,-62.2724,Hotel Argos
307,Alugan,PH,77.54,overcast clouds,12.2188,125.4808,JM Lodge
309,Mayumba,GA,78.22,light rain,-3.432,10.6554,LIKWALE LODGE
310,Atar,MR,69.33,few clouds,20.5169,-13.0499,Oumou Elghoura
311,Japura,ID,72.27,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
312,Gorontalo,ID,73.26,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
316,Port Keats,AU,78.1,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
317,Wellington,NZ,60.76,heavy intensity rain,-41.2866,174.7756,CityLife Wellington
319,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
323,Bengkulu,ID,75.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
326,Namibe,AO,75.18,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
328,Victoria,HK,64.94,overcast clouds,22.2855,114.1577,Mini Hotel Central
329,Carangola,BR,68.59,overcast clouds,-20.7331,-42.0294,Hotel Fazenda Búfalos
330,Fallon,US,63.43,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
333,Concepcion Del Uruguay,AR,70.99,overcast clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
336,Praia,CV,73.94,overcast clouds,14.9215,-23.5087,LT Aparthotel
337,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
338,Nizwa,OM,64.76,clear sky,22.9333,57.5333,Orient Apartments
339,Caravelas,BR,76.91,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
340,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
341,Adelanto,US,81.88,clear sky,34.5828,-117.4092,Days Inn Adelanto-Victorville
343,Cairns,AU,84.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
347,Inhambane,MZ,74.43,clear sky,-23.865,35.3833,Oceano
348,Itarema,BR,79.75,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
350,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
351,Namatanai,PG,81.95,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
355,Carauari,BR,78.22,overcast clouds,-4.8828,-66.8958,Hotel Fellip
362,Sao Joao Da Barra,BR,73.62,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
363,Hit,IQ,51.75,clear sky,33.6416,42.8251,صالون زيرو
364,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
367,Boa Vista,BR,89.58,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
368,Lorengau,PG,81.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
369,Elizabeth City,US,67.05,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
372,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
373,Sulangan,PH,78.89,broken clouds,11.1373,123.7228,Maia's Beach Resort
374,Umm Lajj,SA,67.08,clear sky,25.0213,37.2685,Moon light Furnished Units
375,Ahipara,NZ,68.58,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
376,De Aar,ZA,76.55,scattered clouds,-30.6497,24.0123,Nyibiba Guesthouse
377,Labuhan,ID,77.58,light rain,-6.8844,112.2051,DoubleFAG
378,Lismore,AU,71.69,overcast clouds,-28.8135,153.2773,Dawson Motor Inn
379,Sao Miguel Do Araguaia,BR,73.6,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
380,Morondava,MG,80.78,light rain,-20.2833,44.2833,La Case Bambou
384,Umtata,ZA,70.74,clear sky,-31.5889,28.7844,LLZZ Boutique Lodge
385,Kuala Terengganu,MY,75.15,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
386,Mitsamiouli,KM,78.46,moderate rain,-11.3847,43.2844,Foyer ADM
388,Hirara,JP,66.06,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
389,Tame,CO,82.13,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
392,Samana,DO,76.96,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
393,Atambua,ID,74.77,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
395,Diego De Almagro,CL,72.45,clear sky,-26.3667,-70.05,hotel luna del desierto
398,Lagoa,PT,60.55,overcast clouds,39.05,-27.9833,Casa Das Faias
399,Buchanan,LR,80.56,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
401,Conceicao Do Araguaia,BR,73.99,heavy intensity rain,-8.2578,-49.2647,Tarumã Tropical Hotel
403,Klerksdorp,ZA,67.3,broken clouds,-26.8521,26.6667,Alte Welkom Guesthouse
406,Oriximina,BR,74.98,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
407,Sainte-Maxime,FR,52.0,overcast clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
408,Guerrero Negro,MX,76.59,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
410,Mareeba,AU,79.48,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
411,Eyl,SO,74.71,overcast clouds,7.9803,49.8164,Amiin Hotel
412,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
413,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
419,Kilifi,KE,77.07,overcast clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
421,Portland,US,66.61,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
424,Pundaguitan,PH,80.28,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
426,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
429,Valega,PT,50.81,scattered clouds,40.8363,-8.5806,Aqua Hotel
433,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
434,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
