City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Baiao,BR,-2.7906,-49.6717,77.27,86,97,1.39,light rain
297,Kigonsera,TZ,-10.8,35.05,61.14,96,99,0.36,light rain
298,High Rock,BS,26.6208,-78.2833,75.22,74,2,3.96,clear sky
299,Tilichiki,RU,60.4667,166.1,-20.2,92,12,8.81,few clouds
300,Tromso,NO,69.6496,18.957,17.38,86,0,6.91,clear sky
301,Oskemen,KZ,49.9565,82.6119,19.36,85,100,11.18,overcast clouds
302,Kenai,US,60.5544,-151.2583,32.02,91,100,3.44,mist
303,Prince Rupert,CA,54.3161,-130.3201,44.69,76,0,10.36,clear sky
304,Port Hedland,AU,-20.3167,118.5667,82.45,94,40,6.91,light rain
305,Marienburg,PL,54.0359,19.0266,31.87,67,67,13.44,broken clouds
306,Bahia Blanca,AR,-38.7196,-62.2724,78.01,20,54,1.45,broken clouds
307,Alugan,PH,12.2188,125.4808,77.54,86,96,14.14,overcast clouds
308,Baherden,TM,38.4362,57.4316,42.58,80,6,3.91,clear sky
309,Mayumba,GA,-3.432,10.6554,78.22,91,100,3.33,light rain
310,Atar,MR,20.5169,-13.0499,69.33,23,24,7.43,few clouds
311,Japura,ID,-0.3167,102.35,72.27,97,97,1.72,overcast clouds
312,Gorontalo,ID,0.5412,123.0595,73.26,95,99,3.02,overcast clouds
313,Esso,RU,55.9333,158.7,-7.13,100,91,3.71,overcast clouds
314,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.39,100,100,3.44,overcast clouds
315,Poplar Bluff,US,36.757,-90.3929,37.29,41,0,5.99,clear sky
316,Port Keats,AU,-14.25,129.55,78.1,85,22,4.74,few clouds
317,Wellington,NZ,-41.2866,174.7756,60.76,98,100,46.04,heavy intensity rain
318,Baghdad,IQ,33.3406,44.4009,48.11,46,0,9.22,clear sky
319,Santa Maria,BR,-29.6842,-53.8069,76.3,88,0,2.3,clear sky
320,Sarahan,IN,31.5167,77.8,28.83,40,0,11.5,clear sky
321,Timra,SE,62.487,17.3257,31.68,93,100,4.61,overcast clouds
322,Liverpool,GB,53.4106,-2.9779,49.82,91,75,10.36,broken clouds
323,Bengkulu,ID,-3.8004,102.2655,75.24,84,95,3.78,overcast clouds
324,Udachnyy,RU,66.4167,112.4,-18.62,100,85,2.86,overcast clouds
325,Parfenyevo,RU,58.484,43.4088,14.45,96,99,6.71,light snow
326,Namibe,AO,-15.1961,12.1522,75.18,82,90,6.46,overcast clouds
327,Bud,US,39.447,-86.1758,25.3,77,100,11.41,light snow
328,Victoria,HK,22.2855,114.1577,64.94,90,98,4.0,overcast clouds
329,Carangola,BR,-20.7331,-42.0294,68.59,98,97,2.57,overcast clouds
330,Fallon,US,39.4735,-118.7774,63.43,27,0,4.61,clear sky
331,Taoudenni,ML,22.6783,-3.9836,63.27,21,0,10.45,clear sky
332,Baykit,RU,61.67,96.37,-16.06,100,37,2.62,scattered clouds
333,Concepcion Del Uruguay,AR,-32.4825,-58.2372,70.99,71,98,4.0,overcast clouds
334,Nome,US,64.5011,-165.4064,3.27,43,40,8.05,scattered clouds
335,Otsuki,JP,35.6,138.9333,32.99,68,70,1.99,broken clouds
